geometry,dataset,id,url,date_tm-uom,date_tm-value,stn_nam-uom,stn_nam-value,tc_id-uom,tc_id-value,wmo_synop_id-uom,wmo_synop_id-value,data_pvdr-uom,data_pvdr-value,msc_id-uom,msc_id-value,clim_id-uom,clim_id-value,obs_date_tm,processed_date_tm,data_avail_pst1mt,data_avail_pst1mt-uom,data_avail_pst1mt-qa,max_batry_volt_pst1mt,max_batry_volt_pst1mt-uom,max_batry_volt_pst1mt-qa,min_batry_volt_pst1mt,min_batry_volt_pst1mt-uom,min_batry_volt_pst1mt-qa,logr_panl_temp,logr_panl_temp-uom,logr_panl_temp-qa,air_temp,air_temp-uom,air_temp-qa,rel_hum,rel_hum-uom,rel_hum-qa,max_rel_hum_pst1mt,max_rel_hum_pst1mt-uom,max_rel_hum_pst1mt-qa,min_rel_hum_pst1mt,min_rel_hum_pst1mt-uom,min_rel_hum_pst1mt-qa,avg_wnd_spd_10m_pst1mt,avg_wnd_spd_10m_pst1mt-uom,avg_wnd_spd_10m_pst1mt-qa,avg_wnd_dir_10m_pst1mt,avg_wnd_dir_10m_pst1mt-uom,avg_wnd_dir_10m_pst1mt-qa,max_wnd_spd_10m_pst1mt,max_wnd_spd_10m_pst1mt-uom,max_wnd_spd_10m_pst1mt-qa,wnd_dir_10m_pst1mt_max_spd,wnd_dir_10m_pst1mt_max_spd-uom,wnd_dir_10m_pst1mt_max_spd-qa,avg_wnd_spd_pcpn_gag_pst1mt,avg_wnd_spd_pcpn_gag_pst1mt-uom,avg_wnd_spd_pcpn_gag_pst1mt-qa,stn_pres,stn_pres-uom,stn_pres-qa,avg_cum_pcpn_gag_wt_fltrd_pst5mts,avg_cum_pcpn_gag_wt_fltrd_pst5mts-uom,avg_cum_pcpn_gag_wt_fltrd_pst5mts-qa,snw_dpth,snw_dpth-uom,snw_dpth-qa,avg_snw_dpth_pst5mts,avg_snw_dpth_pst5mts-uom,avg_snw_dpth_pst5mts-qa,rnfl_amt_pst1mt,rnfl_amt_pst1mt-uom,rnfl_amt_pst1mt-qa,avg_air_temp_pst1hr,avg_air_temp_pst1hr-uom,avg_air_temp_pst1hr-data_flag-uom,avg_air_temp_pst1hr-data_flag-code_src,avg_air_temp_pst1hr-data_flag-value,avg_rel_hum_pst1hr,avg_rel_hum_pst1hr-uom,avg_rel_hum_pst1hr-data_flag-uom,avg_rel_hum_pst1hr-data_flag-code_src,avg_rel_hum_pst1hr-data_flag-value,max_air_temp_pst1hr,max_air_temp_pst1hr-uom,max_air_temp_pst1hr-data_flag-uom,max_air_temp_pst1hr-data_flag-code_src,max_air_temp_pst1hr-data_flag-value,pcpn_amt_pst10mts,pcpn_amt_pst10mts-uom,pcpn_amt_pst10mts-data_flag-uom,pcpn_amt_pst10mts-data_flag-code_src,pcpn_amt_pst10mts-data_flag-value,max_rel_hum_pst1hr,max_rel_hum_pst1hr-uom,max_rel_hum_pst1hr-data_flag-uom,max_rel_hum_pst1hr-data_flag-code_src,max_rel_hum_pst1hr-data_flag-value,min_batry_volt_pst1hr,min_batry_volt_pst1hr-uom,min_batry_volt_pst1hr-data_flag-uom,min_batry_volt_pst1hr-data_flag-code_src,min_batry_volt_pst1hr-data_flag-value,avg_wnd_spd_10m_pst2mts,avg_wnd_spd_10m_pst2mts-uom,avg_wnd_spd_10m_pst2mts-data_flag-uom,avg_wnd_spd_10m_pst2mts-data_flag-code_src,avg_wnd_spd_10m_pst2mts-data_flag-value,avg_wnd_spd_pcpn_gag_pst10mts,avg_wnd_spd_pcpn_gag_pst10mts-uom,avg_wnd_spd_pcpn_gag_pst10mts-data_flag-uom,avg_wnd_spd_pcpn_gag_pst10mts-data_flag-code_src,avg_wnd_spd_pcpn_gag_pst10mts-data_flag-value,min_air_temp_pst1hr,min_air_temp_pst1hr-uom,min_air_temp_pst1hr-data_flag-uom,min_air_temp_pst1hr-data_flag-code_src,min_air_temp_pst1hr-data_flag-value,pcpn_amt_snc_top_of_hr,pcpn_amt_snc_top_of_hr-uom,pcpn_amt_snc_top_of_hr-data_flag-uom,pcpn_amt_snc_top_of_hr-data_flag-code_src,pcpn_amt_snc_top_of_hr-data_flag-value,avg_wnd_dir_10m_pst2mts,avg_wnd_dir_10m_pst2mts-uom,avg_wnd_dir_10m_pst2mts-data_flag-uom,avg_wnd_dir_10m_pst2mts-data_flag-code_src,avg_wnd_dir_10m_pst2mts-data_flag-value,avg_wnd_dir_10m_pst1hr,avg_wnd_dir_10m_pst1hr-uom,avg_wnd_dir_10m_pst1hr-data_flag-uom,avg_wnd_dir_10m_pst1hr-data_flag-code_src,avg_wnd_dir_10m_pst1hr-data_flag-value,min_rel_hum_pst1hr,min_rel_hum_pst1hr-uom,min_rel_hum_pst1hr-data_flag-uom,min_rel_hum_pst1hr-data_flag-code_src,min_rel_hum_pst1hr-data_flag-value,data_avail_pst1hr,data_avail_pst1hr-uom,data_avail_pst1hr-data_flag-uom,data_avail_pst1hr-data_flag-code_src,data_avail_pst1hr-data_flag-value,max_batry_volt_pst1hr,max_batry_volt_pst1hr-uom,max_batry_volt_pst1hr-data_flag-uom,max_batry_volt_pst1hr-data_flag-code_src,max_batry_volt_pst1hr-data_flag-value,avg_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst1hr-uom,avg_wnd_spd_10m_pst1hr-data_flag-uom,avg_wnd_spd_10m_pst1hr-data_flag-code_src,avg_wnd_spd_10m_pst1hr-data_flag-value,avg_wnd_spd_10m_pst10mts,avg_wnd_spd_10m_pst10mts-uom,avg_wnd_spd_10m_pst10mts-data_flag-uom,avg_wnd_spd_10m_pst10mts-data_flag-code_src,avg_wnd_spd_10m_pst10mts-data_flag-value,dwpt_temp,dwpt_temp-uom,dwpt_temp-data_flag-uom,dwpt_temp-data_flag-code_src,dwpt_temp-data_flag-value,avg_wnd_dir_10m_pst10mts,avg_wnd_dir_10m_pst10mts-uom,avg_wnd_dir_10m_pst10mts-data_flag-uom,avg_wnd_dir_10m_pst10mts-data_flag-code_src,avg_wnd_dir_10m_pst10mts-data_flag-value,max_wnd_spd_10m_pst1hr,max_wnd_spd_10m_pst1hr-uom,max_wnd_spd_10m_pst1hr-data_flag-uom,max_wnd_spd_10m_pst1hr-data_flag-code_src,max_wnd_spd_10m_pst1hr-data_flag-value,wnd_dir_10m_pst1hr_max_spd,wnd_dir_10m_pst1hr_max_spd-uom,wnd_dir_10m_pst1hr_max_spd-data_flag-uom,wnd_dir_10m_pst1hr_max_spd-data_flag-code_src,wnd_dir_10m_pst1hr_max_spd-data_flag-value,max_wnd_spd_pst1hr_tm,max_wnd_spd_pst1hr_tm-uom,max_wnd_spd_pst1hr_tm-data_flag-uom,max_wnd_spd_pst1hr_tm-data_flag-code_src,max_wnd_spd_pst1hr_tm-data_flag-value,rnfl_amt_pst1hr,rnfl_amt_pst1hr-uom,rnfl_amt_pst1hr-data_flag-uom,rnfl_amt_pst1hr-data_flag-code_src,rnfl_amt_pst1hr-data_flag-value,max_wnd_spd_10m_pst10mts,max_wnd_spd_10m_pst10mts-uom,max_wnd_spd_10m_pst10mts-data_flag-uom,max_wnd_spd_10m_pst10mts-data_flag-code_src,max_wnd_spd_10m_pst10mts-data_flag-value,wnd_dir_10m_pst10mts_max_spd,wnd_dir_10m_pst10mts_max_spd-uom,wnd_dir_10m_pst10mts_max_spd-data_flag-uom,wnd_dir_10m_pst10mts_max_spd-data_flag-code_src,wnd_dir_10m_pst10mts_max_spd-data_flag-value,wetblb_temp,wetblb_temp-uom,wetblb_temp-data_flag-uom,wetblb_temp-data_flag-code_src,wetblb_temp-data_flag-value,avg_dwpt_temp_pst1hr,avg_dwpt_temp_pst1hr-uom,avg_dwpt_temp_pst1hr-data_flag-uom,avg_dwpt_temp_pst1hr-data_flag-code_src,avg_dwpt_temp_pst1hr-data_flag-value,pcpn_amt_pst1hr,pcpn_amt_pst1hr-uom,pcpn_amt_pst1hr-data_flag-uom,pcpn_amt_pst1hr-data_flag-code_src,pcpn_amt_pst1hr-data_flag-value,air_temp_1,air_temp_1-uom,air_temp_2,air_temp_2-uom,air_temp_3,air_temp_3-uom,snw_dpth_1,snw_dpth_1-uom,snw_dpth_2,snw_dpth_2-uom,snw_dpth_3,snw_dpth_3-uom,avg_snw_dpth_pst5mts_1,avg_snw_dpth_pst5mts_1-uom,avg_snw_dpth_pst5mts_2,avg_snw_dpth_pst5mts_2-uom,avg_snw_dpth_pst5mts_3,avg_snw_dpth_pst5mts_3-uom,_is-minutely_obs-value
POINT Z (-114.000258 51.109308 1082.87),msc-observation-atmospheric-surface_weather-ca-1.2-ascii,2026-07-31-0000-CPCI-AUTO-minute-swob.xml,https://dd.weather.gc.ca//20260731/WXO-DD/observations/swob-ml/20260731/CPCI/2026-07-31-0000-CPCI-AUTO-minute-swob.xml,datetime,2026-07-31T00:00:00.000Z,unitless,CALGARY INT'L CS,unitless,PCI,unitless,71393,unitless,MSC,unitless,3031094,unitless,3031094,2026-07-31T00:00:00.000Z,2026-07-31T00:00:43.178Z,100,%,100,12.61,V,100,12.61,V,100,35.6,°C,100,24.9,°C,100,39,%,100,39,%,100,37,%,100,5.7,km/h,100,22,°,100,8.1,km/h,100,25,°,100,4.4,km/h,100,892.1,hPa,100,,kg/m²,-1,0,cm,-10,0,cm,-10,0,mm,100,25.1,°C,code,std_code_src,1,38,%,code,std_code_src,1,25.6,°C,code,std_code_src,1,0,mm,code,std_code_src,1,41,%,code,std_code_src,1,12.6,V,code,std_code_src,1,6.3,km/h,code,std_code_src,1,8.2,km/h,code,std_code_src,1,24.8,°C,code,std_code_src,1,0,mm,code,std_code_src,1,20,°,code,std_code_src,1,54,°,code,std_code_src,1,37,%,code,std_code_src,1,100,%,code,std_code_src,1,12.62,V,code,std_code_src,1,9.3,km/h,code,std_code_src,1,9.5,km/h,code,std_code_src,1,9.9,°C,code,std_code_src,1,47,°,code,std_code_src,1,16.9,km/h,code,std_code_src,1,50,°,code,std_code_src,1,2337,hhmm,code,std_code_src,1,0,mm,code,std_code_src,1,16.4,km/h,code,std_code_src,1,35,°,code,std_code_src,1,15.5,°C,code,std_code_src,1,9.9,°C,code,std_code_src,4,0,mm,code,std_code_src,1,24.9,°C,24.9,°C,24.9,°C,0,cm,-2,cm,-1,cm,0,cm,-2,cm,-1,cm,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
